"name","type","salience","mentions","text_id"
"Barack Obama","PERSON",0.0387,1,377
"American","LOCATION",0.0287,1,377
"Iraqi","LOCATION",0.1165,3,378
"American","LOCATION",0.0711,1,378
"Lester","PERSON",0.0558,1,379
"United States","LOCATION",0.0168,1,379
"Minnesota","LOCATION",0.0222,1,380
"New Jersey","LOCATION",0.0222,1,380
"New York","LOCATION",0.0214,1,380
"Rahami","PERSON",0.0073,1,380
"Middle East","LOCATION",0.1132,1,381
"Europe","LOCATION",0.1091,1,381
"Donald","PERSON",0.0529,1,381
"NATO","ORGANIZATION",0.4371,1,382
"Muslims","OTHER",0.0595,4,382
"Middle East","LOCATION",0.018,1,382
"American Muslim","LOCATION",0.0102,1,382
"Donald","PERSON",0.0059,1,382
"Donald","PERSON",0.0297,1,383
"Trump","PERSON",1,1,384
NA,NA,NA,NA,385
NA,NA,NA,NA,386
"Middle East","LOCATION",0.0161,1,387
"Middle East","LOCATION",0.1036,1,388
"Iran","LOCATION",0.0439,1,388
"NATO","ORGANIZATION",0.1255,3,389
"NATO","ORGANIZATION",0.1349,1,390
"NATO","ORGANIZATION",1,1,391
"New York Times","ORGANIZATION",1,2,392
NA,NA,NA,NA,393
"NATO","ORGANIZATION",0.5268,3,394
"Wall Street Journal","ORGANIZATION",0.0835,1,394
"NATO","ORGANIZATION",0.17,1,395
"Middle East","LOCATION",0.1517,1,396
"Clinton","PERSON",0.1496,1,396
"NATO","ORGANIZATION",0.1358,1,396
"ISIS","ORGANIZATION",0.1046,2,396
"Barack Obama","PERSON",0.0448,1,396
"Lester","PERSON",1,1,397
NA,NA,NA,NA,398
NA,NA,NA,NA,399
"ISIS","ORGANIZATION",0.0237,1,400
"Trump","PERSON",0.6646,1,401
"Iraq","LOCATION",0.0108,1,401
"Iraq","LOCATION",0.3236,1,402
NA,NA,NA,NA,403
NA,NA,NA,NA,404
NA,NA,NA,NA,405
NA,NA,NA,NA,406
NA,NA,NA,NA,407
"Iraq","LOCATION",0.3427,1,408
NA,NA,NA,NA,409
NA,NA,NA,NA,410
NA,NA,NA,NA,411
"Sean Hannity","PERSON",0.1494,4,412
"Howard Stern","PERSON",0.0978,1,412
"Neil Cavuto","PERSON",0.0285,1,412
"Fox","ORGANIZATION",0.0094,1,412
NA,NA,NA,NA,413
"Sean Hannity","PERSON",0.8113,2,414
"Sean Hannity","PERSON",0.0426,1,415
"Iraq","LOCATION",0.0197,1,415
"Sean Hannity","PERSON",0.1426,1,416
"Trump","PERSON",0.0544,1,416
"Middle East","LOCATION",0.0113,1,416
NA,NA,NA,NA,417
NA,NA,NA,NA,418
"Clinton","PERSON",0.2647,1,419
NA,NA,NA,NA,420
"Madison Avenue","LOCATION",0.0254,1,421
"Clinton","PERSON",1,1,422
"Clinton","PERSON",0.1782,1,423
"AFL-CIO","ORGANIZATION",0.0896,1,423
"Clinton","PERSON",1,1,424
NA,NA,NA,NA,425
"NATO","ORGANIZATION",0.5682,3,426
"Donald","PERSON",0.0243,1,426
"Article 5","WORK_OF_ART",0.0085,1,426
"Afghanistan","LOCATION",0.0053,1,426
"Iran","LOCATION",0.3065,2,427
"Bush","PERSON",0.0088,1,427
"Iran","ORGANIZATION",0.3144,2,428
"Senate","ORGANIZATION",0.0967,1,428
"Russia","LOCATION",0.0607,1,428
"China","ORGANIZATION",0.0607,1,428
"Obama","PERSON",0.1418,1,429
"John Kerry","PERSON",0.0352,1,429
"Iran","ORGANIZATION",0.0302,1,429
"Donald","PERSON",0.3917,1,430
"Iranian","LOCATION",0.0454,1,430
"American","LOCATION",0.032,1,430
"Iran","LOCATION",0.0308,1,430
NA,NA,NA,NA,431
NA,NA,NA,NA,432
NA,NA,NA,NA,433
"Donald","PERSON",0.2729,1,434
"Saudi Arabia","LOCATION",0.0175,1,434
"United States","LOCATION",0.0175,1,434
"Japan","LOCATION",0.0169,1,434
"South Korea","LOCATION",0.0169,1,434
"Democrats","PERSON",0.0145,1,434
"Republicans","PERSON",0.0145,1,434
"East Asia","LOCATION",0.0106,1,434
NA,NA,NA,NA,435
NA,NA,NA,NA,436
NA,NA,NA,NA,437
NA,NA,NA,NA,438
NA,NA,NA,NA,439
NA,NA,NA,NA,440
NA,NA,NA,NA,441
"Japan","ORGANIZATION",0.1388,2,442
"Germany","LOCATION",0.0221,1,442
"South Korea","LOCATION",0.0221,1,442
"Saudi Arabia","LOCATION",0.0221,1,442
NA,NA,NA,NA,443
NA,NA,NA,NA,444
NA,NA,NA,NA,445
NA,NA,NA,NA,446
"America","LOCATION",0.2054,1,447
"Obama","PERSON",0.1104,1,447
"Trump","PERSON",0.0673,1,447
"Secretary Clinton","PERSON",0.2397,1,448
"Russia","ORGANIZATION",0.2066,2,448
NA,NA,NA,NA,449
"China","ORGANIZATION",0.2609,3,450
"North Korea","LOCATION",0.024,3,450
"Iran","ORGANIZATION",0.1056,3,451
"North Korea","LOCATION",0.0126,1,451
"Iran","ORGANIZATION",0.1139,1,452
"North Korea","LOCATION",0.0669,1,452
"Yemen","LOCATION",0.0252,1,452
"Kerry","PERSON",0.2358,1,453
"Iran","ORGANIZATION",0.0359,1,454
NA,NA,NA,NA,455
"Bibi Netanyahu","PERSON",0.9005,1,456
"Secretary Clinton","PERSON",1,2,457
"Japan","LOCATION",0.0128,1,458
"South Korea","LOCATION",0.0128,1,458
"American","LOCATION",0.1565,2,459
"Iran","ORGANIZATION",0.0717,1,460
"Donald","PERSON",0.8582,1,461
"Iranian","LOCATION",0.0159,2,461
"ISIS","ORGANIZATION",0.0061,1,461
NA,NA,NA,NA,462
"American","LOCATION",0.0932,1,463
NA,NA,NA,NA,464
NA,NA,NA,NA,465
NA,NA,NA,NA,466
"Lester","PERSON",0.657,1,467
NA,NA,NA,NA,468
"ISIS","ORGANIZATION",0.4935,1,469
"Hillary","PERSON",0.288,1,469
"Trump","PERSON",1,1,470
"Japan","LOCATION",0.0383,1,471
NA,NA,NA,NA,472
NA,NA,NA,NA,473
NA,NA,NA,NA,474
NA,NA,NA,NA,475
"Clinton","PERSON",0.2867,1,476
"Trump","PERSON",0.2867,1,476
NA,NA,NA,NA,477
NA,NA,NA,NA,478
"Lester","PERSON",0.3967,1,479
"Saudi Arabia","LOCATION",0.092,2,480
"Japan","ORGANIZATION",0.043,1,480
"Hillary","PERSON",0.0187,1,480
NA,NA,NA,NA,481
NA,NA,NA,NA,482
"Hillary","PERSON",0.3105,1,483
"Iran","ORGANIZATION",0.0173,2,484
NA,NA,NA,NA,485
"Lester","PERSON",0.116,1,486
NA,NA,NA,NA,487
NA,NA,NA,NA,488
NA,NA,NA,NA,489
NA,NA,NA,NA,490
NA,NA,NA,NA,491
"Miss Piggy","OTHER",0.0052,1,492
"Latina","PERSON",0.0047,1,492
"Donald","PERSON",0.0039,1,492
"Miss Housekeeping","PERSON",0.0021,1,492
NA,NA,NA,NA,493
"Alicia Machado","PERSON",0.1258,1,494
NA,NA,NA,NA,495
"U.S.","LOCATION",0.3826,1,496
NA,NA,NA,NA,497
NA,NA,NA,NA,498
NA,NA,NA,NA,499
"Trump","PERSON",0.8999,1,500
"Rosie O'Donnell","PERSON",0.0949,1,501
"Hillary","PERSON",0.0941,1,501
NA,NA,NA,NA,502
NA,NA,NA,NA,503
"Hillary","PERSON",0.6225,1,504
"Lester","PERSON",1,1,505
NA,NA,NA,NA,506
NA,NA,NA,NA,507
NA,NA,NA,NA,508
"Clinton","PERSON",0.178,1,509
NA,NA,NA,NA,510
"Donald","PERSON",0.218,1,511
"Trump","PERSON",0.8718,1,512
"America","LOCATION",0.0368,1,513
NA,NA,NA,NA,514
NA,NA,NA,NA,515
"Hillary","PERSON",0.2786,1,516
"America","LOCATION",0.0654,1,516
NA,NA,NA,NA,517
"Washington University in St. Louis","ORGANIZATION",0.1098,1,518
"University of Nevada Las Vegas","ORGANIZATION",0.0394,1,518
"Longwood University","ORGANIZATION",0.0394,1,519
"Virginia","LOCATION",0.0355,1,519
"Farmville","LOCATION",0.0342,1,519
"Hillary Clinton","PERSON",0.0294,1,519
"Hofstra University","ORGANIZATION",0.0136,1,519
"Donald Trump","PERSON",0.0117,1,519
